food_id,allergy_id
100721,1
100723,1
100743,1
100922,1
100001,3
100002,3
100003,3
100004,3
100005,3
100007,3
100008,3
100009,3
100013,3
100014,3
100015,3
100017,3
100026,3
100029,3
100033,3
100034,3
100036,3
100038,3
100043,3
100044,3
100045,3
100046,3
100048,3
100049,3
100051,3
100054,3
100056,3
100057,3
100059,3
100063,3
100066,3
100067,3
100068,3
100070,3
100074,3
100075,3
100076,3
100078,3
100079,3
100080,3
100084,3
100090,3
100093,3
100095,3
100101,3
100102,3
100109,3
100114,3
100117,3
100118,3
100119,3
100122,3
100125,3
100127,3
100128,3
100129,3
100130,3
100131,3
100132,3
100133,3
100142,3
100144,3
100148,3
100149,3
100151,3
100153,3
100154,3
100155,3
100157,3
100166,3
100168,3
100169,3
100173,3
100189,3
100190,3
100193,3
100194,3
100196,3
100197,3
100198,3
100204,3
100206,3
100207,3
100208,3
100209,3
100211,3
100213,3
100215,3
100223,3
100224,3
100231,3
100232,3
100234,3
100240,3
100244,3
100245,3
100246,3
100248,3
100249,3
100254,3
100256,3
100257,3
100259,3
100262,3
100268,3
100270,3
100272,3
100273,3
100275,3
100276,3
100277,3
100278,3
100279,3
100280,3
100282,3
100284,3
100287,3
100288,3
100289,3
100290,3
100292,3
100294,3
100295,3
100297,3
100300,3
100302,3
100304,3
100309,3
100310,3
100311,3
100312,3
100314,3
100318,3
100319,3
100325,3
100329,3
100337,3
100338,3
100339,3
100340,3
100342,3
100343,3
100344,3
100345,3
100346,3
100347,3
100348,3
100349,3
100350,3
100351,3
100352,3
100353,3
100354,3
100355,3
100356,3
100357,3
100359,3
100361,3
100362,3
100363,3
100365,3
100366,3
100368,3
100369,3
100370,3
100371,3
100372,3
100373,3
100374,3
100375,3
100376,3
100377,3
100378,3
100379,3
100380,3
100381,3
100382,3
100383,3
100385,3
100386,3
100388,3
100389,3
100390,3
100391,3
100393,3
100395,3
100396,3
100397,3
100399,3
100400,3
100401,3
100402,3
100403,3
100404,3
100405,3
100406,3
100409,3
100411,3
100413,3
100414,3
100415,3
100416,3
100417,3
100418,3
100419,3
100420,3
100422,3
100423,3
100424,3
100427,3
100431,3
100433,3
100441,3
100442,3
100444,3
100450,3
100469,3
100471,3
100475,3
100478,3
100480,3
100484,3
100488,3
100495,3
100501,3
100502,3
100507,3
100524,3
100526,3
100540,3
100543,3
100549,3
100555,3
100559,3
100570,3
100572,3
100588,3
100592,3
100596,3
100597,3
100599,3
100600,3
100605,3
100608,3
100611,3
100616,3
100617,3
100618,3
100619,3
100620,3
100622,3
100623,3
100625,3
100627,3
100628,3
100630,3
100633,3
100645,3
100648,3
100649,3
100650,3
100652,3
100653,3
100661,3
100669,3
100670,3
100673,3
100675,3
100680,3
100689,3
100690,3
100691,3
100692,3
100693,3
100694,3
100695,3
100696,3
100697,3
100698,3
100699,3
100700,3
100701,3
100702,3
100703,3
100704,3
100705,3
100706,3
100708,3
100709,3
100710,3
100711,3
100712,3
100713,3
100714,3
100715,3
100716,3
100717,3
100718,3
100719,3
100722,3
100724,3
100725,3
100726,3
100727,3
100728,3
100730,3
100732,3
100733,3
100734,3
100736,3
100737,3
100738,3
100739,3
100740,3
100741,3
100742,3
100744,3
100745,3
100747,3
100750,3
100751,3
100754,3
100755,3
100758,3
100759,3
100760,3
100764,3
100767,3
100769,3
